row_type	id	kind	parent	surface	evidence	status	anchor	scope
primary	subcommand.hooks.init	subcommand	hooks	init	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	Init,	schema.managed-hooks
primary	subcommand.hooks.add	subcommand	hooks	add	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	Add {	schema.managed-hooks
primary	subcommand.hooks.list	subcommand	hooks	list	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	List,	schema.managed-hooks
primary	subcommand.hooks.remove	subcommand	hooks	remove	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	Remove {	schema.managed-hooks
primary	subcommand.hooks.run	subcommand	hooks	run	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	Run {	schema.managed-hooks
primary	option.clone.worktree-first	option	clone	--worktree-first	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_clone_compat.rs;crates/zmin-cli/tests/git_transport_http_compat.rs	stable	long = "worktree-first"	schema.clone
primary	option.clone.instant	option	clone	--instant	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_clone_compat.rs;crates/zmin-cli/tests/git_transport_http_compat.rs	stable	long = "instant"	schema.clone
primary	option.clone.background-fetch	option	clone	--background-fetch	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_clone_compat.rs;crates/zmin-cli/tests/git_transport_http_compat.rs	stable	long = "background-fetch"	schema.clone
primary	option.clone.demand-hydrate	option	clone	--demand-hydrate	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_clone_compat.rs;crates/zmin-cli/tests/git_transport_http_compat.rs	stable	long = "demand-hydrate"	schema.clone
primary	option.cat-file.type	option	cat-file	--type	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_object_plumbing_compat.rs	stable	long = "type"	schema.cat-file
primary	option.cat-file.size	option	cat-file	--size	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_object_plumbing_compat.rs	stable	long = "size"	schema.cat-file
primary	option.cat-file.exists	option	cat-file	--exists	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_object_plumbing_compat.rs	stable	long = "exists"	schema.cat-file
primary	option.cat-file.pretty	option	cat-file	--pretty	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_object_plumbing_compat.rs	stable	long = "pretty"	schema.cat-file
primary	option.imap-send.folder	option	imap-send	--folder	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/mail_impl.rs;crates/zmin-cli/tests/git_mail_tools_compat.rs	stable	long = "folder"	schema.imap-send
primary	option.imap-send.list	option	imap-send	--list	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/mail_impl.rs;crates/zmin-cli/tests/git_mail_tools_compat.rs	stable	long = "list"	schema.imap-send
primary	option.imap-send.short-folder	option	imap-send	-f	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/mail_impl.rs;crates/zmin-cli/tests/git_mail_tools_compat.rs	stable	short = 'f', long = "folder"	schema.imap-send
primary	option.credential-cache.daemon-internal	option	credential-cache	--daemon-internal	crates/zmin-cli/src/cli/commands/credential_impl.rs;crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_internal_options_evidence.rs	stable	if daemon_internal {	runtime.credential-cache
primary	option.instaweb.daemon-internal	option	instaweb	--daemon-internal	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin_impl.rs;crates/zmin-cli/tests/git_internal_options_evidence.rs	stable	long = "daemon-internal"	schema.instaweb
primary	option.instaweb.git-dir	option	instaweb	--git-dir	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin_impl.rs;crates/zmin-cli/tests/git_internal_options_evidence.rs	stable	long = "git-dir"	schema.instaweb
primary	option.instaweb.work-tree	option	instaweb	--work-tree	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin_impl.rs;crates/zmin-cli/tests/git_internal_options_evidence.rs	stable	long = "work-tree"	schema.instaweb
primary	hook-option.hook-run.ignore-missing	option	hook	--ignore-missing	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	long = "ignore-missing"	schema.hook-run
primary	hook-option.hook-run.to-stdin	option	hook	--to-stdin	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	long = "to-stdin"	schema.hook-run
primary	hook-option.hooks-add.force	option	hooks	--force	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	long = "force"	schema.hooks-add
primary	hook-option.hooks-add.staged-runner	option	hooks	--staged-runner	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	long = "staged-runner"	schema.hooks-add
primary	hook-option.hooks-add.ext	option	hooks	--ext	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	long = "ext"	schema.hooks-add
primary	hook-option.hooks-run.staged	option	hooks	--staged	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	long = "staged"	schema.hooks-run
primary	hook-option.hooks-run.ext	option	hooks	--ext	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	long = "ext"	schema.hooks-run
primary	hook-option.hooks-run.list	option	hooks	--list	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	long = "list"	schema.hooks-run
primary	hook-option.hooks-run.dry-run	option	hooks	--dry-run	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/src/cli/commands/admin.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	long = "dry-run"	schema.hooks-run
primary	environment.ZMIN_GIT_HTTP_VERSION	environment	-	ZMIN_GIT_HTTP_VERSION	crates/zmin-cli/src/cli/commands/transport_impl.rs;crates/zmin-cli/tests/git_transport_http_compat.rs	stable	std::env::var("ZMIN_GIT_HTTP_VERSION")	runtime.http-version
relationship	relationship.hooks.init	relationship	hooks	init	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	Init,	schema.managed-hooks
relationship	relationship.hooks.add	relationship	hooks	add	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	Add {	schema.managed-hooks
relationship	relationship.hooks.list	relationship	hooks	list	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	List,	schema.managed-hooks
relationship	relationship.hooks.remove	relationship	hooks	remove	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	Remove {	schema.managed-hooks
relationship	relationship.hooks.run	relationship	hooks	run	crates/zmin-cli-schema/src/lib.rs;crates/zmin-cli/tests/git_admin_tools_compat.rs	stable	Run {	schema.managed-hooks
relationship	relationship.repo.info	relationship	repo	info	tools/git-upstream-compat-contract.tsv	stable	current_git_non_extension_repo	contract.current-git-repo
relationship	relationship.repo.structure	relationship	repo	structure	tools/git-upstream-compat-contract.tsv	stable	current_git_non_extension_repo	contract.current-git-repo
