command	option	evidence	notes
shortlog	--date-order	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: date-order now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted on the modeled history.
shortlog	--do-walk	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: do-walk now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted on the modeled history.
shortlog	--encoding	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: encoding now has durable stock-Git shortlog evidence for the helper-free local HEAD lane with UTF-8 acceptance semantics matching stock Git.
shortlog	--graph	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: graph now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted on the modeled history.
shortlog	--left-right	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: left-right now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted on the modeled history.
shortlog	--mailmap	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: mailmap now has durable stock-Git shortlog evidence for stock-compatible unknown-option rejection on this machine.
shortlog	--no-object-names	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: no-object-names now has durable stock-Git shortlog evidence for stock-compatible unknown-option rejection on this machine.
shortlog	--object-names	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: object-names now has durable stock-Git shortlog evidence for stock-compatible unknown-option rejection on this machine.
shortlog	--objects	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: objects now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted on the modeled history.
shortlog	--oneline	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: oneline now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted without changing rendered output.
shortlog	--parents	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: parents now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted on the modeled history.
shortlog	--pretty	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: pretty now has durable stock-Git shortlog evidence for the helper-free local HEAD lane with pretty=oneline acceptance semantics matching stock Git.
shortlog	--right-only	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: right-only now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted on the modeled history.
shortlog	--show-signature	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: show-signature now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted on the modeled history.
shortlog	--source	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: source now has durable stock-Git shortlog evidence for stock-compatible unknown-option rejection on this machine.
shortlog	--first-parent	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: first-parent now has durable stock-Git shortlog evidence for the helper-free shortlog summary lane on linear history where first-parent acceptance matches stock Git.
shortlog	--max-age	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: max-age now has durable stock-Git shortlog evidence for the helper-free summary lane where the alias resolves to the same timestamp filtering semantics as stock Git.
shortlog	--max-parents	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: max-parents now has durable stock-Git shortlog evidence for the helper-free summary lane where parent-count upper-bound filtering matches stock Git.
shortlog	--merges	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: merges now has durable stock-Git shortlog evidence for the helper-free summary lane where non-merge history collapses to empty output like stock Git.
shortlog	--min-age	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: min-age now has durable stock-Git shortlog evidence for the helper-free summary lane where the alias resolves to the same upper timestamp bound semantics as stock Git.
shortlog	--min-parents	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: min-parents now has durable stock-Git shortlog evidence for the helper-free summary lane where parent-count lower-bound filtering matches stock Git.
shortlog	--no-max-parents	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: no-max-parents now has durable stock-Git shortlog evidence for the helper-free summary lane where resetting the upper parent bound matches stock Git.
shortlog	--no-min-parents	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: no-min-parents now has durable stock-Git shortlog evidence for the helper-free summary lane where resetting the lower parent bound matches stock Git.
shortlog	--no-walk	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: no-walk now has durable stock-Git shortlog evidence for the helper-free summary lane where only the explicit tip commit is summarized like stock Git.
shortlog	--reverse	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: reverse now has durable stock-Git shortlog evidence for the helper-free summary lane where the accepted spelling preserves the same rendered author counts as stock Git.
shortlog	--since	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: since now has durable stock-Git shortlog evidence for the helper-free summary lane using the canonical lower timestamp bound spelling.
shortlog	--skip	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: skip now has durable stock-Git shortlog evidence for the helper-free summary lane where traversal skipping matches stock Git.
shortlog	--topo-order	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: topo-order now has durable stock-Git shortlog evidence for the helper-free local HEAD lane where the option is accepted on the modeled history.
shortlog	--until	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: until now has durable stock-Git shortlog evidence for the helper-free summary lane using the canonical upper timestamp bound spelling.
shortlog	--header	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: header now has durable stock-Git shortlog evidence for stock-compatible unknown-option rejection on this machine.
shortlog	--ignore-missing	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: ignore-missing now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--indexed-objects	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: indexed-objects now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--missing	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: missing now has durable stock-Git shortlog evidence for stock-compatible unknown-option rejection on this machine.
shortlog	--no-abbrev-commit	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: no-abbrev-commit now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--no-expand-tabs	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: no-expand-tabs now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--no-filter	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: no-filter now has durable stock-Git shortlog evidence for stock-compatible unknown-option rejection on this machine.
shortlog	--no-notes	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: no-notes now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--no-standard-notes	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: no-standard-notes now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--notes	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: notes now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--objects-edge	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: objects-edge now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--objects-edge-aggressive	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: objects-edge-aggressive now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--progress	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: progress now has durable stock-Git shortlog evidence for stock-compatible unknown-option rejection on this machine.
shortlog	--quiet	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: quiet now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--relative-date	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: relative-date now has durable stock-Git shortlog evidence for the helper-free summary lane with format-based date grouping.
shortlog	--remotes	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: remotes now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--remove-empty	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: remove-empty now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--show-notes	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: show-notes now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--show-notes-by-default	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: show-notes-by-default now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--show-pulls	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: show-pulls now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--simplify-merges	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: simplify-merges now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted on the modeled history.
shortlog	--sparse	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: sparse now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--standard-notes	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: standard-notes now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--timestamp	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: timestamp now has durable stock-Git shortlog evidence for stock-compatible unknown-option rejection on this machine.
shortlog	--unpacked	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: unpacked now has durable stock-Git shortlog evidence for the helper-free summary lane where the option is accepted without changing rendered author counts.
shortlog	--use-bitmap-index	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: use-bitmap-index now has durable stock-Git shortlog evidence for stock-compatible unknown-option rejection on this machine.
annotate	--encoding	docs/cli/matrices/annotate_v2_47.tsv; target/git-doc-cache/v2.47.1/git-annotate.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: encoding now has durable stock-Git annotate evidence for the represented helper-free local lane, including matching stdout, stderr, exit status, and unchanged repository state.
annotate	--first-parent	docs/cli/matrices/annotate_v2_47.tsv; target/git-doc-cache/v2.47.1/git-annotate.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: first-parent now has durable stock-Git annotate evidence for the represented helper-free local acceptance lane, including matching stdout, stderr, exit status, and unchanged repository state.
am	--quiet	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: quiet now has durable stock-Git am evidence for the helper-free single-mail lane where stdout is suppressed while tree, commit message, and repository state match stock Git.
am	-q	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: short quiet alias now has durable stock-Git am evidence for the helper-free single-mail lane where stdout is suppressed while tree, commit message, and repository state match stock Git.
am	--utf8	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: utf8 now has durable stock-Git am evidence for the helper-free single-mail lane where the accepted spelling preserves stock stdout, stderr, tree, commit message, and repository state.
am	--no-utf8	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: no-utf8 now has durable stock-Git am evidence for the helper-free single-mail lane where the accepted spelling preserves stock stdout, stderr, tree, commit message, and repository state.
am	--keep	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: keep now has durable stock-Git am evidence for the helper-free single-mail lane where the [PATCH] subject is preserved in Applying output and the created commit message.
am	-k	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: short keep alias now has durable stock-Git am evidence for the helper-free single-mail lane where the [PATCH] subject is preserved in Applying output and the created commit message.
am	--signoff	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: signoff now has durable stock-Git am evidence for the helper-free single-mail lane where the created commit gains the stock Signed-off-by trailer.
am	--keep-cr	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: keep-cr now has durable stock-Git am evidence for the helper-free single-mail lane where the accepted spelling preserves stock stdout, stderr, tree, commit message, and repository state.
am	--no-keep-cr	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: no-keep-cr now has durable stock-Git am evidence for the helper-free single-mail lane where the accepted spelling preserves stock stdout, stderr, tree, commit message, and repository state.
am	--message-id	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: message-id now has durable stock-Git am evidence for the helper-free single-mail lane where the accepted spelling preserves stock stdout, stderr, tree, commit message, and repository state.
am	--no-message-id	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: no-message-id now has durable stock-Git am evidence for the helper-free single-mail lane where the accepted spelling preserves stock stdout, stderr, tree, commit message, and repository state.
am	--3way	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: 3way now has durable stock-Git am evidence for the helper-free clean single-mail lane where the accepted spelling preserves stock stdout, stderr, tree, commit message, and repository state.
am	-3	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: short 3way alias now has durable stock-Git am evidence for the helper-free clean single-mail lane where the accepted spelling preserves stock stdout, stderr, tree, commit message, and repository state.
am	--no-3way	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: no-3way now has durable stock-Git am evidence for the helper-free clean single-mail lane where the accepted spelling preserves stock stdout, stderr, tree, commit message, and repository state.
am	--ignore-space-change	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: ignore-space-change now has durable stock-Git am evidence for the helper-free single-mail lane where the accepted spelling preserves stock stdout, stderr, tree, commit message, and repository state.
am	--ignore-whitespace	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: ignore-whitespace now has durable stock-Git am evidence for the helper-free single-mail lane where the accepted spelling preserves stock stdout, stderr, tree, commit message, and repository state.
am	--abort	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: abort now has durable stock-Git am evidence for stock-compatible no-session rejection on this machine.
am	--quit	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: quit now has durable stock-Git am evidence for stock-compatible no-session rejection on this machine.
am	--skip	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: skip now has durable stock-Git am evidence for stock-compatible no-session rejection on this machine.
am	--continue	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: continue now has durable stock-Git am evidence for stock-compatible no-session rejection on this machine.
am	--resolved	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: resolved now has durable stock-Git am evidence for stock-compatible no-session rejection on this machine.
am	--retry	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: retry now has durable stock-Git am evidence for stock-compatible no-session rejection on this machine.
am	--show-current-patch	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: show-current-patch now has durable stock-Git am evidence for both documented no-session raw and diff rejection spellings on this machine.
am	--keep-non-patch	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: keep-non-patch now has durable stock-Git am evidence for the helper-free single-mail lane where the accepted spelling preserves stock stdout, stderr, tree, commit message, and repository state.
am	-m	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: short message-id alias now has durable stock-Git am evidence for the helper-free single-mail lane where the accepted spelling preserves stock stdout, stderr, tree, commit message, and repository state.
am	--scissors	docs/cli/matrices/am_v2_47.tsv; target/git-doc-cache/v2.47.1/git-am.txt; crates/zmin-cli/tests/git_mail_series_compat.rs	Reviewed complete doc-option pair: scissors now has durable stock-Git am evidence for the helper-free single-mail lane without a scissors marker, preserving stock stdout, stderr, tree, commit message, and repository state.
